name,category,tent,locationIds,booths
"Bruce Flooring, Mildmay",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Bruce/Grey Owen Sound Constituency,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Association, Green Party of Ontario",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Buddsteel Architectural Products, Teeswater",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Canadian Snowbird Association, Toronto",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
CarePartners - Exploring Healthcare,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Careers in Rural Ontario, Waterloo",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Christadelphians: ASK, Brantford",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"CMHA Grey Bruce, Owen Sound",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Croskill Overhead Doors, Listowel",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Electrical Safety Authority, Sudbury",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"ENJO Canada, Tiverton",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Freiburger Welding, Walkerton",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Grey Bruce Public Health, Owen Sound",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"Harry Buurma - free bibles, Watford",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
"HDTV & Electronics, Walkerton",indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Huron County,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Kincardine & Community Health Care,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Ontario Mutual Insurance Association,outdoor,,3A-20-24,3A-20|3A-21|3A-22|3A-23|3A-24
Britespan Building,outdoor,,3B-28-32,3B-28|3B-29|3B-30|3B-31|3B-32
Ontario PC Caucus,outdoor,,3B-19,3B-19
Centre,outdoor,,3B-25-27,3B-25|3B-26|3B-27
Ontario Provincial Police - South Bruce,outdoor,,5A-15-16,5A-15|5A-16
Partnership Park,outdoor,,3A-29-35,3A-29|3A-30|3A-31|3A-32|3A-33|3A-34|3A-35
"Paul Grewall Novelties Ltd., Brampton",outdoor,,4A-11,4A-11
"Postech Screw Piles, Markdale",outdoor,,2A-29,2A-29
"Primerica, Hanover",outdoor,,4B-27,4B-27
"Quality Homes, Kenilworth",outdoor,,3A-09-12,3A-09|3A-10|3A-11|3A-12
Quilt Tent,outdoor,,3A-39-44,3A-39|3A-40|3A-41|3A-42|3A-43|3A-44
RAM Truck Corral,outdoor,,SOUTH-1,SOUTH-1
"Reformed Evangelistic Outreach, Ancaster",outdoor,,4B-14,4B-14
