Exhibitor print name,Company,Sharon category,Proven containing area,Area identifier,Sept 17 Excel row,Status
Rural Ontario Institute/AALP,Rural Ontario Institute / AALP ,Rural Expo Courtyard,Rural Expo Courtyard,3B 39–44,249,ADDED TO NON-PRODUCTION CANDIDATE
Set Free Healing,Set Free Healing,Rural Living 2,Rural Living Tent #2,4B 17–22,253,ADDED TO NON-PRODUCTION CANDIDATE
Skills Ontario,Skills Ontario - Ontario Competences Canada,Rural Expo Courtyard,Rural Expo Courtyard,3B 39–44,256,ADDED TO NON-PRODUCTION CANDIDATE
Snobelen Farms Ltd.,Snobelen Farms Ltd.,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,259,ADDED TO NON-PRODUCTION CANDIDATE
Soleno Inc.,Soleno Inc.,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,261,ADDED TO NON-PRODUCTION CANDIDATE
Solera Solar Lighting,Light Efficient Design - Solar,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,262,ADDED TO NON-PRODUCTION CANDIDATE
Superior Meats,Superior Meats,Commercial,Commercial Market Tent,4A 05–10,267,ADDED TO NON-PRODUCTION CANDIDATE
Tenth Street Wealth Management - Raymond James,Raymond James,Commercial,Commercial Market Tent,4A 05–10,274,ADDED TO NON-PRODUCTION CANDIDATE
The Kirstine-Ellis Group,The Kirstine-Ellis Group,Rural Living 2,Rural Living Tent #2,4B 17–22,277,ADDED TO NON-PRODUCTION CANDIDATE
Titanium Gourmet Inc.,Titanium Gourmet Inc.,Commercial,Commercial Market Tent,4A 05–10,283,ADDED TO NON-PRODUCTION CANDIDATE
Uber Canada,Uber Canada,Commercial,Commercial Market Tent,4A 05–10,291,ADDED TO NON-PRODUCTION CANDIDATE
Victim Services Bruce Grey,Victim Services Bruce Grey,Rural Living 1,Rural Living Tent #1,4A 16–21,295,ADDED TO NON-PRODUCTION CANDIDATE
Western Ontario Wardens Caucus,Western Ontario Wardens Caucus,Rural Expo Courtyard,Rural Expo Courtyard,3B 39–44,307,ADDED TO NON-PRODUCTION CANDIDATE
Whisky & Wine Rustic Design Co.,Whisky & Wine Rustic Design Co.,Artisan,Artisan Vendors Tent,2B 33–38,309,ADDED TO NON-PRODUCTION CANDIDATE
Work Authority,Work Authority - Hanover,Rural Living 2,Rural Living Tent #2,4B 17–22,315,ADDED TO NON-PRODUCTION CANDIDATE
WT Living,W.T. Land LP,Rural Living 1,Rural Living Tent #1,4A 16–21,317,ADDED TO NON-PRODUCTION CANDIDATE
