name,locationLabel,boothCount,class,reason,lotCount,exactVsParent,status
"Mike’s Wood, Elmwood","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Nana’s Sewing Basket, Walkerton","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Natural Stitch Designs, Amaranth","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Northern Flyer Design (Ken Thornburn), Tara","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Paisley Drive Designs, Chesley","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Rachel Joy Jewellery, Kincardine","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Susan Seitz, Walkerton","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"Wildflower Designs, Shallow Lake","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"The Quilt Jeannie, Harriston","3A-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Style Catering, Stratford","5A-23-24",2,confident_lot,"lots",2,"child_w=1.507/parent_w=9.047",exact
"DC Foods, Tillsonburg","1B-38, 4B-12",2,confident_lot,"lots",2,"child_w=25.86/parent_w=25.86",exact
"Metalf Food & Beverage","3B-13-14",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"2 Farmers & a Cow Ice Cream Co., Guelph","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Action First Aid, Barrie","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"All Star Metals Inc., Newton","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"CIBC, Walkerton","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Dill Doughs, Kincardine","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Eastlink, Sudbury","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Express Heat Therapy, Scarborough","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Galaxy Sweets, Hanover","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"HearingLife Canada, North York","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"It’s About You by Christine Lennips, Hanover","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Joe Carter - Group Benefits Specialist","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Wingham","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Norwex, Wyoming","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Oasis Therapy, Moffat","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Playtime Casino Hanover, Hanover","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Royal Bank of Canada (“RBC”)","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"SV Law, Guelph","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Titanium Gourmet Inc., Scarborough","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"TreeGirl Henna, Teeswater","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Uber Canada, Toronto","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Maitland Valley Conservation","5B-10-12",3,unmatched,"unknown-token:5B-10,5B-11,5B-12",0,"",unavailable
"Transit Trailer Ltd","2A-03-04",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
